담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시
교통행정과,군포시 택시운송사업의 구분 변경에 관한 규칙,2021-09-16,제1조,검토 필요,여객자동차 운수사업법 시행규칙,제33조제1항제6호,내용변경,「여객자동차 운수사업법 시행규칙」 제33조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
교통행정과,군포시 택시운송사업의 구분 변경에 관한 규칙,2021-09-16,제2조,검토 필요,여객자동차 운수사업법 시행규칙,제33조제1항제6호,내용변경,「여객자동차 운수사업법 시행규칙」 제33조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
기업정책과,군포시 가스사업 등의 허가기준에 관한 조례,2015-10-12,제1조,검토 필요,고압가스안전관리법 시행령,제3조제5항,내용변경,「고압가스안전관리법 시행령」 제3조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
기업정책과,군포시 가스사업 등의 허가기준에 관한 조례,2015-10-12,제1조,검토 필요,액화석유가스의 안전관리 및 사업법,제6조제2항,내용변경,「액화석유가스의 안전관리 및 사업법」 제6조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
기업정책과,군포시 가스사업 등의 허가기준에 관한 조례,2015-10-12,제2조,검토 필요,고압가스안전관리법,제4조,내용변경,「고압가스안전관리법」 제4조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
기업정책과,군포시 가스사업 등의 허가기준에 관한 조례,2015-10-12,제2조,검토 필요,액화석유가스의 안전관리 및 사업법,제5조,내용변경,「액화석유가스의 안전관리 및 사업법」 제5조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
기업정책과,군포시 노동종합복지관 설치 및 운영 조례,2021-09-30,제10조,검토 필요,고엽제후유의증 등 환자지원 및 단체설립에 관한 법률,제8조의3,내용변경,「고엽제후유의증 등 환자지원 및 단체설립에 관한 법률」 제8조의3 개정 내용을 반영하여 이 조례 제10조을(를) 검토·정비
기업정책과,군포시 노동종합복지관 설치 및 운영 조례,2021-09-30,제10조,검토 필요,특수임무유공자 예우 및 단체설립에 관한 법률 시행령,제58조,내용변경,「특수임무유공자 예우 및 단체설립에 관한 법률 시행령」 제58조 개정 내용을 반영하여 이 조례 제10조을(를) 검토·정비
기업정책과,군포시 생활임금 조례,2023-05-01,제2조,검토 필요,지방공기업법,제76조,내용변경,「지방공기업법」 제76조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
기업정책과,군포시 수소산업 육성 및 지원에 관한 조례,2024-01-08,제2조,검토 필요,수소경제 육성 및 수소 안전관리에 관한 법률,제22조,내용변경,「수소경제 육성 및 수소 안전관리에 관한 법률」 제22조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
기업정책과,군포시 에너지 기본 조례,2024-05-15,제2조,검토 필요,에너지이용 합리화법,제22조,내용변경,「에너지이용 합리화법」 제22조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
기업정책과,군포시 에너지 기본 조례,2024-05-15,제7조,검토 필요,집단에너지사업법,제5조제1항,내용변경,「집단에너지사업법」 제5조 개정 내용을 반영하여 이 조례 제7조을(를) 검토·정비
기업정책과,군포시 에너지 기본 조례,2024-05-15,제9조,검토 필요,에너지이용 합리화법,제28조,내용변경,「에너지이용 합리화법」 제28조 개정 내용을 반영하여 이 조례 제9조을(를) 검토·정비
기업정책과,군포시 중소기업 육성자금 지원 조례,2020-09-29,제1조,검토 필요,중소기업기본법,제3조,내용변경,「중소기업기본법」 제3조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
기업정책과,군포시 중소기업 육성자금 지원 조례,2020-09-29,제2조,검토 필요,중소기업기본법,제2조,내용변경,「중소기업기본법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
기업정책과,군포시 중소기업 육성자금 지원 조례,2020-09-29,제2조,검토 필요,산업집적활성화 및 공장 설립에 관한 법률,제16조,내용변경,「산업집적활성화 및 공장 설립에 관한 법률」 제16조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
기업정책과,군포시 중소기업 육성자금 지원 조례,2020-09-29,제13조,검토 필요,산업집적활성화 및 공장 설립에 관한 법률,제28조의2,내용변경,「산업집적활성화 및 공장 설립에 관한 법률」 제28조의2 개정 내용을 반영하여 이 조례 제13조을(를) 검토·정비
기업정책과,군포시 중소기업 육성자금 지원 조례 시행규칙,2020-09-29,제9조,검토 필요,중소기업기본법 시행령,제3조,내용변경,「중소기업기본법 시행령」 제3조 개정 내용을 반영하여 이 조례 제9조을(를) 검토·정비
기업정책과,군포시 필수노동자 보호 및 지원에 관한 조례,2023-05-01,제2조,검토 필요,재난 및 안전관리 기본법,제3조제1호,내용변경,「재난 및 안전관리 기본법」 제3조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
